1, gpu_percent:   11% | 7517MB
146, gpu_percent:    0% | 7517MB
147, gpu_percent:    0% | 7517MB
148, gpu_percent:    0% | 7517MB
149, gpu_percent:    0% | 7517MB
150, gpu_percent:    0% | 7517MB
151, gpu_percent:    0% | 7517MB
152, gpu_percent:    0% | 7517MB
153, gpu_percent:    0% | 7517MB
154, gpu_percent:    0% | 7517MB
155, gpu_percent:    0% | 7517MB
156, gpu_percent:    0% | 7517MB
157, gpu_percent:    0% | 7517MB
158, gpu_percent:    0% | 7517MB
159, gpu_percent:    0% | 7517MB
160, gpu_percent:    0% | 7517MB
161, gpu_percent:    0% | 7517MB
162, gpu_percent:    0% | 7517MB
163, gpu_percent:    0% | 7517MB
164, gpu_percent:    0% | 7517MB
165, gpu_percent:    0% | 7517MB
166, gpu_percent:    0% | 7517MB
167, gpu_percent:    0% | 7517MB
168, gpu_percent:    0% | 7517MB
169, gpu_percent:    0% | 7517MB
170, gpu_percent:    0% | 7517MB
171, gpu_percent:    0% | 7517MB
172, gpu_percent:    0% | 7517MB
173, gpu_percent:    0% | 7517MB
174, gpu_percent:    0% | 7517MB
175, gpu_percent:    0% | 7517MB
176, gpu_percent:    0% | 7517MB
177, gpu_percent:    0% | 7517MB
178, gpu_percent:    0% | 7517MB
179, gpu_percent:    0% | 7517MB
180, gpu_percent:    0% | 7517MB
181, gpu_percent:    0% | 7517MB
182, gpu_percent:    0% | 7517MB
183, gpu_percent:    0% | 7517MB
184, gpu_percent:    0% | 7517MB
185, gpu_percent:    0% | 7517MB
186, gpu_percent:    0% | 7517MB
