1, gpu_percent:   12% | 7517MB
94, gpu_percent:   94% | 7517MB
95, gpu_percent:   94% | 7517MB
96, gpu_percent:   79% | 7517MB
97, gpu_percent:   93% | 7517MB
98, gpu_percent:   94% | 7517MB
99, gpu_percent:   94% | 7517MB
100, gpu_percent:   94% | 7517MB
101, gpu_percent:   94% | 7517MB
102, gpu_percent:   94% | 7517MB
103, gpu_percent:   94% | 7517MB
104, gpu_percent:   85% | 7517MB
105, gpu_percent:   93% | 7517MB
106, gpu_percent:   93% | 7517MB
107, gpu_percent:   94% | 7517MB
108, gpu_percent:   93% | 7517MB
109, gpu_percent:   93% | 7517MB
110, gpu_percent:   94% | 7517MB
111, gpu_percent:   94% | 7517MB
112, gpu_percent:   93% | 7517MB
113, gpu_percent:   94% | 7517MB
114, gpu_percent:   94% | 7517MB
115, gpu_percent:   93% | 7517MB
116, gpu_percent:   93% | 7517MB
117, gpu_percent:   94% | 7517MB
118, gpu_percent:   94% | 7517MB
119, gpu_percent:   93% | 7517MB
120, gpu_percent:   94% | 7517MB
121, gpu_percent:   94% | 7517MB
122, gpu_percent:   94% | 7517MB
123, gpu_percent:   94% | 7517MB
124, gpu_percent:   94% | 7517MB
125, gpu_percent:   94% | 7517MB
126, gpu_percent:   94% | 7517MB
127, gpu_percent:   93% | 7517MB
128, gpu_percent:   94% | 7517MB
129, gpu_percent:   94% | 7517MB
130, gpu_percent:   93% | 7517MB
131, gpu_percent:   93% | 7517MB
132, gpu_percent:   93% | 7517MB
133, gpu_percent:   94% | 7517MB
134, gpu_percent:   94% | 7517MB
135, gpu_percent:   93% | 7517MB
136, gpu_percent:   94% | 7517MB
137, gpu_percent:   93% | 7517MB
138, gpu_percent:   93% | 7517MB
139, gpu_percent:   93% | 7517MB
140, gpu_percent:   93% | 7517MB
141, gpu_percent:   93% | 7517MB
142, gpu_percent:   93% | 7517MB
143, gpu_percent:   94% | 7517MB
144, gpu_percent:   94% | 7517MB
145, gpu_percent:   93% | 7517MB
146, gpu_percent:   94% | 7517MB
147, gpu_percent:   94% | 7517MB
148, gpu_percent:   94% | 7517MB
149, gpu_percent:   94% | 7517MB
150, gpu_percent:   94% | 7517MB
151, gpu_percent:   93% | 7517MB
152, gpu_percent:   94% | 7517MB
153, gpu_percent:   94% | 7517MB
154, gpu_percent:   93% | 7517MB
155, gpu_percent:   94% | 7517MB
156, gpu_percent:   94% | 7517MB
157, gpu_percent:   94% | 7517MB
158, gpu_percent:   94% | 7517MB
159, gpu_percent:   94% | 7517MB
160, gpu_percent:   94% | 7517MB
161, gpu_percent:   93% | 7517MB
162, gpu_percent:   93% | 7517MB
163, gpu_percent:   94% | 7517MB
164, gpu_percent:   93% | 7517MB
165, gpu_percent:   93% | 7517MB
166, gpu_percent:   94% | 7517MB
167, gpu_percent:   80% | 7517MB
168, gpu_percent:   93% | 7517MB
169, gpu_percent:   93% | 7517MB
170, gpu_percent:   94% | 7517MB
171, gpu_percent:   94% | 7517MB
172, gpu_percent:   94% | 7517MB
173, gpu_percent:   93% | 7517MB
174, gpu_percent:   94% | 7517MB
175, gpu_percent:   81% | 7517MB
176, gpu_percent:   94% | 7517MB
177, gpu_percent:   94% | 7517MB
178, gpu_percent:   94% | 7517MB
179, gpu_percent:   94% | 7517MB
180, gpu_percent:   94% | 7517MB
181, gpu_percent:   93% | 7517MB
182, gpu_percent:   93% | 7517MB
183, gpu_percent:   82% | 7517MB
184, gpu_percent:   93% | 7517MB
185, gpu_percent:   93% | 7517MB
186, gpu_percent:   94% | 7517MB
187, gpu_percent:   93% | 7517MB
188, gpu_percent:   93% | 7517MB
189, gpu_percent:   93% | 7517MB
190, gpu_percent:   93% | 7517MB
191, gpu_percent:   86% | 7517MB
192, gpu_percent:   93% | 7517MB
193, gpu_percent:   94% | 7517MB
194, gpu_percent:   94% | 7517MB
195, gpu_percent:   94% | 7517MB
196, gpu_percent:   93% | 7517MB
197, gpu_percent:   94% | 7517MB
198, gpu_percent:   94% | 7517MB
199, gpu_percent:   87% | 7517MB
200, gpu_percent:   94% | 7517MB
201, gpu_percent:   93% | 7517MB
202, gpu_percent:   94% | 7517MB
203, gpu_percent:   94% | 7517MB
204, gpu_percent:   94% | 7517MB
205, gpu_percent:   94% | 7517MB
206, gpu_percent:   94% | 7517MB
207, gpu_percent:   94% | 7517MB
208, gpu_percent:   94% | 7517MB
209, gpu_percent:   94% | 7517MB
210, gpu_percent:   93% | 7517MB
211, gpu_percent:   94% | 7517MB
212, gpu_percent:   94% | 7517MB
213, gpu_percent:   94% | 7517MB
214, gpu_percent:   94% | 7517MB
215, gpu_percent:   93% | 7517MB
216, gpu_percent:   94% | 7517MB
217, gpu_percent:   94% | 7517MB
218, gpu_percent:   94% | 7517MB
219, gpu_percent:   94% | 7517MB
220, gpu_percent:   94% | 7517MB
221, gpu_percent:   92% | 7517MB
222, gpu_percent:   94% | 7517MB
223, gpu_percent:   94% | 7517MB
224, gpu_percent:   94% | 7517MB
225, gpu_percent:   94% | 7517MB
226, gpu_percent:   94% | 7517MB
227, gpu_percent:   94% | 7517MB
228, gpu_percent:   94% | 7517MB
229, gpu_percent:   94% | 7517MB
230, gpu_percent:   93% | 7517MB
231, gpu_percent:   93% | 7517MB
232, gpu_percent:   93% | 7517MB
233, gpu_percent:   94% | 7517MB
234, gpu_percent:   94% | 7517MB
235, gpu_percent:   93% | 7517MB
236, gpu_percent:   94% | 7517MB
237, gpu_percent:   94% | 7517MB
238, gpu_percent:   94% | 7517MB
239, gpu_percent:   94% | 7517MB
240, gpu_percent:   94% | 7517MB
241, gpu_percent:   94% | 7517MB
242, gpu_percent:   94% | 7517MB
243, gpu_percent:   93% | 7517MB
244, gpu_percent:   93% | 7517MB
245, gpu_percent:   94% | 7517MB
246, gpu_percent:   93% | 7517MB
247, gpu_percent:   93% | 7517MB
248, gpu_percent:   93% | 7517MB
249, gpu_percent:   94% | 7517MB
250, gpu_percent:   93% | 7517MB
251, gpu_percent:   94% | 7517MB
252, gpu_percent:   93% | 7517MB
253, gpu_percent:   93% | 7517MB
254, gpu_percent:   94% | 7517MB
255, gpu_percent:   94% | 7517MB
256, gpu_percent:   93% | 7517MB
257, gpu_percent:   94% | 7517MB
258, gpu_percent:   93% | 7517MB
259, gpu_percent:   94% | 7517MB
260, gpu_percent:   94% | 7517MB
261, gpu_percent:   94% | 7517MB
262, gpu_percent:   78% | 7517MB
263, gpu_percent:   93% | 7517MB
264, gpu_percent:   94% | 7517MB
265, gpu_percent:   94% | 7517MB
266, gpu_percent:   94% | 7517MB
267, gpu_percent:   94% | 7517MB
268, gpu_percent:   94% | 7517MB
269, gpu_percent:   94% | 7517MB
270, gpu_percent:   77% | 7517MB
271, gpu_percent:   94% | 7517MB
272, gpu_percent:   94% | 7517MB
273, gpu_percent:   94% | 7517MB
274, gpu_percent:   93% | 7517MB
275, gpu_percent:   93% | 7517MB
276, gpu_percent:   94% | 7517MB
277, gpu_percent:   93% | 7517MB
278, gpu_percent:   94% | 7517MB
279, gpu_percent:   94% | 7517MB
280, gpu_percent:   94% | 7517MB
281, gpu_percent:   93% | 7517MB
282, gpu_percent:   93% | 7517MB
283, gpu_percent:   94% | 7517MB
284, gpu_percent:   94% | 7517MB
285, gpu_percent:   93% | 7517MB
286, gpu_percent:   94% | 7517MB
287, gpu_percent:   93% | 7517MB
288, gpu_percent:   94% | 7517MB
289, gpu_percent:   94% | 7517MB
290, gpu_percent:   94% | 7517MB
291, gpu_percent:   94% | 7517MB
292, gpu_percent:   94% | 7517MB
293, gpu_percent:   93% | 7517MB
294, gpu_percent:   93% | 7517MB
295, gpu_percent:   93% | 7517MB
296, gpu_percent:   94% | 7517MB
297, gpu_percent:   94% | 7517MB
298, gpu_percent:   93% | 7517MB
299, gpu_percent:   93% | 7517MB
300, gpu_percent:   94% | 7517MB
301, gpu_percent:   93% | 7517MB
302, gpu_percent:   94% | 7517MB
303, gpu_percent:   94% | 7517MB
304, gpu_percent:   93% | 7517MB
305, gpu_percent:   93% | 7517MB
306, gpu_percent:   93% | 7517MB
307, gpu_percent:   94% | 7517MB
308, gpu_percent:   94% | 7517MB
309, gpu_percent:   93% | 7517MB
310, gpu_percent:   94% | 7517MB
311, gpu_percent:   94% | 7517MB
312, gpu_percent:   93% | 7517MB
313, gpu_percent:   94% | 7517MB
314, gpu_percent:   94% | 7517MB
315, gpu_percent:   93% | 7517MB
316, gpu_percent:   94% | 7517MB
317, gpu_percent:   94% | 7517MB
318, gpu_percent:   94% | 7517MB
319, gpu_percent:   94% | 7517MB
320, gpu_percent:   94% | 7517MB
321, gpu_percent:   94% | 7517MB
322, gpu_percent:   94% | 7517MB
323, gpu_percent:   94% | 7517MB
324, gpu_percent:   94% | 7517MB
325, gpu_percent:   93% | 7517MB
326, gpu_percent:   94% | 7517MB
327, gpu_percent:   94% | 7517MB
328, gpu_percent:   94% | 7517MB
329, gpu_percent:   93% | 7517MB
330, gpu_percent:   93% | 7517MB
331, gpu_percent:   94% | 7517MB
332, gpu_percent:   94% | 7517MB
333, gpu_percent:   93% | 7517MB
334, gpu_percent:   94% | 7517MB
335, gpu_percent:   94% | 7517MB
336, gpu_percent:   93% | 7517MB
337, gpu_percent:   93% | 7517MB
338, gpu_percent:   94% | 7517MB
339, gpu_percent:   93% | 7517MB
340, gpu_percent:   94% | 7517MB
341, gpu_percent:   88% | 7517MB
342, gpu_percent:   93% | 7517MB
343, gpu_percent:   93% | 7517MB
344, gpu_percent:   94% | 7517MB
345, gpu_percent:   94% | 7517MB
346, gpu_percent:   94% | 7517MB
347, gpu_percent:   94% | 7517MB
348, gpu_percent:   93% | 7517MB
349, gpu_percent:   83% | 7517MB
350, gpu_percent:   94% | 7517MB
351, gpu_percent:   94% | 7517MB
352, gpu_percent:   93% | 7517MB
353, gpu_percent:   94% | 7517MB
354, gpu_percent:   93% | 7517MB
355, gpu_percent:   93% | 7517MB
356, gpu_percent:   94% | 7517MB
357, gpu_percent:   79% | 7517MB
358, gpu_percent:   94% | 7517MB
359, gpu_percent:   93% | 7517MB
360, gpu_percent:   94% | 7517MB
361, gpu_percent:   93% | 7517MB
362, gpu_percent:   94% | 7517MB
363, gpu_percent:   94% | 7517MB
364, gpu_percent:   94% | 7517MB
365, gpu_percent:   81% | 7517MB
366, gpu_percent:   93% | 7517MB
367, gpu_percent:   94% | 7517MB
368, gpu_percent:   93% | 7517MB
369, gpu_percent:   94% | 7517MB
370, gpu_percent:   94% | 7517MB
371, gpu_percent:   94% | 7517MB
372, gpu_percent:   94% | 7517MB
373, gpu_percent:   93% | 7517MB
374, gpu_percent:   94% | 7517MB
375, gpu_percent:   94% | 7517MB
376, gpu_percent:   93% | 7517MB
377, gpu_percent:   94% | 7517MB
378, gpu_percent:   93% | 7517MB
379, gpu_percent:   94% | 7517MB
380, gpu_percent:   93% | 7517MB
381, gpu_percent:   93% | 7517MB
382, gpu_percent:   94% | 7517MB
383, gpu_percent:   94% | 7517MB
384, gpu_percent:   94% | 7517MB
385, gpu_percent:   93% | 7517MB
386, gpu_percent:   94% | 7517MB
387, gpu_percent:   94% | 7517MB
388, gpu_percent:   94% | 7517MB
389, gpu_percent:   94% | 7517MB
390, gpu_percent:   94% | 7517MB
391, gpu_percent:   93% | 7517MB
392, gpu_percent:   94% | 7517MB
393, gpu_percent:   94% | 7517MB
394, gpu_percent:   94% | 7517MB
395, gpu_percent:   94% | 7517MB
396, gpu_percent:   94% | 7517MB
397, gpu_percent:   94% | 7517MB
398, gpu_percent:   94% | 7517MB
399, gpu_percent:   94% | 7517MB
400, gpu_percent:   94% | 7517MB
401, gpu_percent:   94% | 7517MB
402, gpu_percent:   94% | 7517MB
403, gpu_percent:   94% | 7517MB
404, gpu_percent:   94% | 7517MB
405, gpu_percent:   94% | 7517MB
406, gpu_percent:   94% | 7517MB
407, gpu_percent:   93% | 7517MB
408, gpu_percent:   93% | 7517MB
409, gpu_percent:   94% | 7517MB
410, gpu_percent:   94% | 7517MB
411, gpu_percent:   93% | 7517MB
412, gpu_percent:   92% | 7517MB
413, gpu_percent:   93% | 7517MB
414, gpu_percent:   94% | 7517MB
415, gpu_percent:   93% | 7517MB
416, gpu_percent:   94% | 7517MB
417, gpu_percent:   94% | 7517MB
418, gpu_percent:   94% | 7517MB
419, gpu_percent:   94% | 7517MB
420, gpu_percent:   93% | 7517MB
421, gpu_percent:   94% | 7517MB
422, gpu_percent:   93% | 7517MB
423, gpu_percent:   94% | 7517MB
424, gpu_percent:   94% | 7517MB
425, gpu_percent:   94% | 7517MB
426, gpu_percent:   94% | 7517MB
427, gpu_percent:   94% | 7517MB
428, gpu_percent:   73% | 7517MB
429, gpu_percent:   94% | 7517MB
430, gpu_percent:   94% | 7517MB
431, gpu_percent:   94% | 7517MB
432, gpu_percent:   94% | 7517MB
433, gpu_percent:   94% | 7517MB
434, gpu_percent:   94% | 7517MB
435, gpu_percent:   93% | 7517MB
436, gpu_percent:   78% | 7517MB
437, gpu_percent:   94% | 7517MB
438, gpu_percent:   94% | 7517MB
439, gpu_percent:   93% | 7517MB
440, gpu_percent:   94% | 7517MB
441, gpu_percent:   94% | 7517MB
442, gpu_percent:   94% | 7517MB
443, gpu_percent:   94% | 7517MB
444, gpu_percent:   73% | 7517MB
445, gpu_percent:   94% | 7517MB
446, gpu_percent:   94% | 7517MB
447, gpu_percent:   94% | 7517MB
448, gpu_percent:   94% | 7517MB
449, gpu_percent:   93% | 7517MB
450, gpu_percent:   94% | 7517MB
451, gpu_percent:   93% | 7517MB
452, gpu_percent:   94% | 7517MB
453, gpu_percent:   93% | 7517MB
454, gpu_percent:   94% | 7517MB
455, gpu_percent:   94% | 7517MB
456, gpu_percent:   93% | 7517MB
457, gpu_percent:   94% | 7517MB
458, gpu_percent:   93% | 7517MB
459, gpu_percent:   93% | 7517MB
460, gpu_percent:   92% | 7517MB
461, gpu_percent:   93% | 7517MB
462, gpu_percent:   94% | 7517MB
463, gpu_percent:   94% | 7517MB
464, gpu_percent:   94% | 7517MB
465, gpu_percent:   93% | 7517MB
466, gpu_percent:   94% | 7517MB
467, gpu_percent:   94% | 7517MB
468, gpu_percent:   94% | 7517MB
469, gpu_percent:   94% | 7517MB
470, gpu_percent:   94% | 7517MB
471, gpu_percent:   93% | 7517MB
472, gpu_percent:   93% | 7517MB
473, gpu_percent:   94% | 7517MB
474, gpu_percent:   94% | 7517MB
475, gpu_percent:   93% | 7517MB
476, gpu_percent:   94% | 7517MB
477, gpu_percent:   94% | 7517MB
478, gpu_percent:   94% | 7517MB
479, gpu_percent:   93% | 7517MB
480, gpu_percent:   94% | 7517MB
481, gpu_percent:   93% | 7517MB
482, gpu_percent:   94% | 7517MB
483, gpu_percent:   94% | 7517MB
484, gpu_percent:   93% | 7517MB
485, gpu_percent:   93% | 7517MB
486, gpu_percent:   93% | 7517MB
487, gpu_percent:   93% | 7517MB
488, gpu_percent:   93% | 7517MB
489, gpu_percent:   94% | 7517MB
490, gpu_percent:   94% | 7517MB
491, gpu_percent:   93% | 7517MB
492, gpu_percent:   94% | 7517MB
493, gpu_percent:   93% | 7517MB
494, gpu_percent:   94% | 7517MB
495, gpu_percent:   94% | 7517MB
496, gpu_percent:   94% | 7517MB
497, gpu_percent:   94% | 7517MB
498, gpu_percent:   94% | 7517MB
499, gpu_percent:   94% | 7517MB
500, gpu_percent:   93% | 7517MB
501, gpu_percent:   94% | 7517MB
502, gpu_percent:   94% | 7517MB
503, gpu_percent:   94% | 7517MB
504, gpu_percent:   94% | 7517MB
505, gpu_percent:   94% | 7517MB
506, gpu_percent:   94% | 7517MB
507, gpu_percent:   84% | 7517MB
508, gpu_percent:   94% | 7517MB
509, gpu_percent:   94% | 7517MB
510, gpu_percent:   93% | 7517MB
511, gpu_percent:   94% | 7517MB
512, gpu_percent:   94% | 7517MB
513, gpu_percent:   94% | 7517MB
514, gpu_percent:   94% | 7517MB
515, gpu_percent:   83% | 7517MB
516, gpu_percent:   94% | 7517MB
517, gpu_percent:   94% | 7517MB
518, gpu_percent:   94% | 7517MB
519, gpu_percent:   94% | 7517MB
520, gpu_percent:   94% | 7517MB
521, gpu_percent:   94% | 7517MB
522, gpu_percent:   93% | 7517MB
523, gpu_percent:   86% | 7517MB
524, gpu_percent:   93% | 7517MB
525, gpu_percent:   93% | 7517MB
526, gpu_percent:   94% | 7517MB
527, gpu_percent:   94% | 7517MB
528, gpu_percent:   94% | 7517MB
529, gpu_percent:   94% | 7517MB
530, gpu_percent:   94% | 7517MB
531, gpu_percent:   88% | 7517MB
532, gpu_percent:   94% | 7517MB
533, gpu_percent:   94% | 7517MB
534, gpu_percent:   93% | 7517MB
535, gpu_percent:   93% | 7517MB
536, gpu_percent:   93% | 7517MB
537, gpu_percent:   94% | 7517MB
538, gpu_percent:   93% | 7517MB
539, gpu_percent:   90% | 7517MB
540, gpu_percent:   93% | 7517MB
541, gpu_percent:   94% | 7517MB
542, gpu_percent:   93% | 7517MB
543, gpu_percent:   94% | 7517MB
544, gpu_percent:   94% | 7517MB
545, gpu_percent:   94% | 7517MB
546, gpu_percent:   94% | 7517MB
547, gpu_percent:   94% | 7517MB
548, gpu_percent:   93% | 7517MB
549, gpu_percent:   94% | 7517MB
550, gpu_percent:   94% | 7517MB
551, gpu_percent:   93% | 7517MB
552, gpu_percent:   93% | 7517MB
553, gpu_percent:   93% | 7517MB
554, gpu_percent:   94% | 7517MB
555, gpu_percent:   93% | 7517MB
556, gpu_percent:   93% | 7517MB
557, gpu_percent:   94% | 7517MB
558, gpu_percent:   93% | 7517MB
559, gpu_percent:   93% | 7517MB
560, gpu_percent:   94% | 7517MB
561, gpu_percent:   94% | 7517MB
562, gpu_percent:   93% | 7517MB
563, gpu_percent:   94% | 7517MB
564, gpu_percent:   93% | 7517MB
565, gpu_percent:   93% | 7517MB
566, gpu_percent:   92% | 7517MB
567, gpu_percent:   93% | 7517MB
568, gpu_percent:   94% | 7517MB
569, gpu_percent:   94% | 7517MB
570, gpu_percent:   94% | 7517MB
571, gpu_percent:   94% | 7517MB
572, gpu_percent:   94% | 7517MB
573, gpu_percent:   94% | 7517MB
574, gpu_percent:   94% | 7517MB
575, gpu_percent:   94% | 7517MB
576, gpu_percent:   94% | 7517MB
577, gpu_percent:   94% | 7517MB
578, gpu_percent:   93% | 7517MB
579, gpu_percent:   94% | 7517MB
580, gpu_percent:   94% | 7517MB
581, gpu_percent:   94% | 7517MB
582, gpu_percent:   94% | 7517MB
583, gpu_percent:   94% | 7517MB
584, gpu_percent:   93% | 7517MB
585, gpu_percent:   94% | 7517MB
586, gpu_percent:   93% | 7517MB
587, gpu_percent:   93% | 7517MB
588, gpu_percent:   94% | 7517MB
589, gpu_percent:   93% | 7517MB
590, gpu_percent:   94% | 7517MB
591, gpu_percent:   94% | 7517MB
592, gpu_percent:   94% | 7517MB
593, gpu_percent:   94% | 7517MB
594, gpu_percent:   93% | 7517MB
595, gpu_percent:   93% | 7517MB
596, gpu_percent:   94% | 7517MB
597, gpu_percent:   94% | 7517MB
598, gpu_percent:   94% | 7517MB
599, gpu_percent:   94% | 7517MB
600, gpu_percent:   94% | 7517MB
601, gpu_percent:   94% | 7517MB
602, gpu_percent:   77% | 7517MB
603, gpu_percent:   94% | 7517MB
604, gpu_percent:   93% | 7517MB
605, gpu_percent:   93% | 7517MB
606, gpu_percent:   93% | 7517MB
607, gpu_percent:   94% | 7517MB
608, gpu_percent:   94% | 7517MB
609, gpu_percent:   93% | 7517MB
610, gpu_percent:   73% | 7517MB
611, gpu_percent:   94% | 7517MB
612, gpu_percent:   94% | 7517MB
613, gpu_percent:   94% | 7517MB
614, gpu_percent:   94% | 7517MB
615, gpu_percent:   92% | 7517MB
616, gpu_percent:   93% | 7517MB
617, gpu_percent:   94% | 7517MB
618, gpu_percent:   92% | 7517MB
619, gpu_percent:   94% | 7517MB
620, gpu_percent:   94% | 7517MB
621, gpu_percent:   94% | 7517MB
622, gpu_percent:   94% | 7517MB
623, gpu_percent:   94% | 7517MB
624, gpu_percent:   94% | 7517MB
625, gpu_percent:   94% | 7517MB
626, gpu_percent:   93% | 7517MB
627, gpu_percent:   93% | 7517MB
628, gpu_percent:   94% | 7517MB
629, gpu_percent:   94% | 7517MB
630, gpu_percent:   94% | 7517MB
631, gpu_percent:   93% | 7517MB
632, gpu_percent:   94% | 7517MB
633, gpu_percent:   94% | 7517MB
634, gpu_percent:   94% | 7517MB
635, gpu_percent:   94% | 7517MB
636, gpu_percent:   94% | 7517MB
637, gpu_percent:   94% | 7517MB
638, gpu_percent:   94% | 7517MB
639, gpu_percent:   94% | 7517MB
640, gpu_percent:   93% | 7517MB
641, gpu_percent:   94% | 7517MB
642, gpu_percent:   94% | 7517MB
643, gpu_percent:   93% | 7517MB
644, gpu_percent:   93% | 7517MB
645, gpu_percent:   93% | 7517MB
646, gpu_percent:   93% | 7517MB
647, gpu_percent:   93% | 7517MB
648, gpu_percent:   93% | 7517MB
649, gpu_percent:   93% | 7517MB
650, gpu_percent:   94% | 7517MB
651, gpu_percent:   93% | 7517MB
652, gpu_percent:   94% | 7517MB
653, gpu_percent:   93% | 7517MB
654, gpu_percent:   94% | 7517MB
655, gpu_percent:   93% | 7517MB
656, gpu_percent:   94% | 7517MB
657, gpu_percent:   94% | 7517MB
658, gpu_percent:   94% | 7517MB
659, gpu_percent:   94% | 7517MB
660, gpu_percent:   93% | 7517MB
661, gpu_percent:   94% | 7517MB
662, gpu_percent:   94% | 7517MB
663, gpu_percent:   94% | 7517MB
664, gpu_percent:   93% | 7517MB
665, gpu_percent:   94% | 7517MB
666, gpu_percent:   94% | 7517MB
667, gpu_percent:   93% | 7517MB
668, gpu_percent:   93% | 7517MB
669, gpu_percent:   94% | 7517MB
670, gpu_percent:   94% | 7517MB
671, gpu_percent:   94% | 7517MB
672, gpu_percent:   93% | 7517MB
673, gpu_percent:   90% | 7517MB
674, gpu_percent:   93% | 7517MB
675, gpu_percent:   93% | 7517MB
676, gpu_percent:   93% | 7517MB
677, gpu_percent:   93% | 7517MB
678, gpu_percent:   94% | 7517MB
679, gpu_percent:   94% | 7517MB
680, gpu_percent:   94% | 7517MB
681, gpu_percent:   91% | 7517MB
682, gpu_percent:   94% | 7517MB
683, gpu_percent:   94% | 7517MB
684, gpu_percent:   92% | 7517MB
685, gpu_percent:   94% | 7517MB
686, gpu_percent:   94% | 7517MB
687, gpu_percent:   93% | 7517MB
688, gpu_percent:   93% | 7517MB
689, gpu_percent:   76% | 7517MB
690, gpu_percent:   94% | 7517MB
691, gpu_percent:   94% | 7517MB
692, gpu_percent:   94% | 7517MB
693, gpu_percent:   93% | 7517MB
694, gpu_percent:   94% | 7517MB
695, gpu_percent:   94% | 7517MB
696, gpu_percent:   94% | 7517MB
697, gpu_percent:   72% | 7517MB
698, gpu_percent:   94% | 7517MB
699, gpu_percent:   94% | 7517MB
700, gpu_percent:   93% | 7517MB
701, gpu_percent:   93% | 7517MB
702, gpu_percent:   93% | 7517MB
703, gpu_percent:   94% | 7517MB
704, gpu_percent:   93% | 7517MB
705, gpu_percent:   77% | 7517MB
706, gpu_percent:   94% | 7517MB
707, gpu_percent:   94% | 7517MB
708, gpu_percent:   94% | 7517MB
709, gpu_percent:   93% | 7517MB
710, gpu_percent:   93% | 7517MB
711, gpu_percent:   93% | 7517MB
712, gpu_percent:   94% | 7517MB
713, gpu_percent:   93% | 7517MB
714, gpu_percent:   93% | 7517MB
715, gpu_percent:   93% | 7517MB
716, gpu_percent:   93% | 7517MB
717, gpu_percent:   94% | 7517MB
718, gpu_percent:   93% | 7517MB
719, gpu_percent:   94% | 7517MB
720, gpu_percent:   94% | 7517MB
721, gpu_percent:   94% | 7517MB
722, gpu_percent:   94% | 7517MB
723, gpu_percent:   93% | 7517MB
724, gpu_percent:   93% | 7517MB
725, gpu_percent:   93% | 7517MB
726, gpu_percent:   93% | 7517MB
727, gpu_percent:   94% | 7517MB
728, gpu_percent:   93% | 7517MB
729, gpu_percent:   94% | 7517MB
730, gpu_percent:   93% | 7517MB
731, gpu_percent:   93% | 7517MB
732, gpu_percent:   94% | 7517MB
733, gpu_percent:   94% | 7517MB
734, gpu_percent:   94% | 7517MB
735, gpu_percent:   93% | 7517MB
